question,answer
Reset password,"You can reset your password by selecting the Forgot Password option on the login page."
Forgot username,"If you forgot your username, use your registered email address to recover your account."
Unable to login,"Check your username and password. If the problem continues, reset your password."
Account locked,"Your account may be temporarily locked after multiple failed login attempts. Please try again later."
Change profile information,"You can update your profile details from the account settings page."
Update email address,"You can change your registered email address from your profile settings."
Delete account,"You can request account deletion through account settings or customer support."
Create new account,"You can create a new account by registering with your email address."
Change password,"You can change your password from the security settings section."
Two factor authentication,"You can enable two-factor authentication from your account security settings."
Email verification,"Please verify your email by clicking the verification link sent to your inbox."
Verification email not received,"Check your spam folder or request a new verification email."
Phone number update,"You can update your phone number from your account profile settings."
Username change,"Usernames can be changed from your profile settings if the option is available."
Profile picture update,"You can upload or change your profile picture from your account settings."
Deactivate account,"You can temporarily deactivate your account from the account settings page."
Reactivate account,"Log in using your registered credentials to reactivate your account."
Suspended account,"If your account has been suspended, please contact customer support for assistance."
Incorrect account information,"Update your personal information from your account profile."
Account verification,"Complete the verification process by providing the requested documents."
Security questions,"You can update your security questions from your account security settings."
Device management,"Manage your logged-in devices from the Security section of your account."
Sign out from all devices,"Use the 'Sign out from all devices' option in your security settings."
Account hacked,"Immediately reset your password and contact customer support."
Unknown login detected,"Review your recent login activity and change your password if necessary."
Change display name,"You can update your display name from your profile settings."
Merge accounts,"Please contact customer support if you need assistance merging accounts."
Recover deleted account,"Recently deleted accounts may be recoverable by contacting customer support."
Manage privacy settings,"Update your privacy preferences from your account settings."
Enable notifications,"Notification preferences can be managed from your account settings."
Disable notifications,"You can turn off notifications in the notification settings section."
Login verification code not received,"Request a new verification code and check your mobile network or email."
Password expired,"Please create a new password to continue accessing your account."
Session expired,"Your session has expired. Please sign in again."
Remember this device,"Enable the 'Remember this device' option during login for quicker access."
Linked accounts,"You can manage linked social accounts from your account settings."
Remove linked account,"You can unlink connected accounts from the Security section."
Update personal information,"You can edit your personal information from your profile page."
Account recovery,"Use the account recovery option on the login page if you cannot access your account."
Close account permanently,"Please contact customer support if you wish to permanently close your account."
