question,answer
Payment failed,"If your payment failed, please verify your card details, account balance, and try again."
Card declined,"If your card is declined, check whether your card is active or try another payment method."
Refund,"Refunds are processed within 5-7 business days after approval."
Duplicate payment,"If you were charged twice for the same transaction, contact support with your transaction details."
Payment pending,"Pending payments are usually completed within a few hours. Please check again later."
Invoice request,"You can download your invoice from the billing section of your account."
Change payment method,"You can update your payment method from account billing settings."
Subscription cancellation,"You can cancel your subscription from your account settings before the next billing cycle."
Billing information,"You can view your billing history and payment details from the billing dashboard."
Transaction not recognized,"If you see an unknown transaction, contact support immediately for verification."
Late payment,"Late payments may incur additional charges depending on your subscription plan."
Payment successful but service not activated,"If your payment was successful but the service is still inactive, please provide your transaction ID for verification."
Credit card expired,"Please update your payment method with a valid card and try again."
Payment gateway error,"A temporary payment gateway issue occurred. Please wait a few minutes and try again."
Automatic payment failed,"Please verify your saved payment method and ensure sufficient account balance."
Subscription renewal failed,"Your subscription renewal could not be completed. Please update your payment details and try again."
Tax invoice,"You can download your tax invoice from the Billing section after the payment is completed."
Update billing address,"You can update your billing address from your account settings."
Coupon not applied,"Ensure the coupon is valid and has not expired before applying it."
Promo code invalid,"The promo code entered is invalid or has already been used."
Partial payment,"We currently do not support partial payments for subscriptions."
Payment timeout,"Your payment session timed out. Please retry the payment."
International payment failed,"Please confirm that your card supports international transactions."
UPI payment failed,"Verify your UPI ID and ensure your UPI app is active before trying again."
Net banking payment failed,"Please verify your bank account details and try again later."
Wallet payment failed,"Ensure your digital wallet has sufficient balance before making the payment."
EMI option unavailable,"EMI is available only for eligible banks and minimum purchase amounts."
Refund delayed,"Refunds may take up to 10 business days depending on your bank."
Request payment receipt,"You can download your payment receipt from the Billing History page."
Subscription upgraded,"Your billing will be adjusted automatically when you upgrade your subscription."
Subscription downgraded,"Changes to your billing will take effect from your next billing cycle."
Billing cycle,"Your billing cycle details are available in your account's subscription settings."
Currency conversion,"International payments may include currency conversion charges from your bank."
GST invoice request,"GST invoices are available for eligible business accounts after payment."
Failed recurring payment,"Your recurring payment failed. Please update your payment method to continue your subscription."
Outstanding balance,"Please clear your outstanding balance to continue using our services."
Payment confirmation email not received,"Please check your spam folder or request a new payment confirmation email."
Incorrect invoice amount,"If your invoice amount appears incorrect, please contact our billing support team."
Remove saved card,"You can remove your saved payment methods from the Billing Settings page."
Payment verification,"Payment verification may take a few minutes after the transaction is completed."
Why was money deducted from my account?,"Money may have been deducted because of a successful payment, subscription charge, or temporary authorization hold. Please check your transaction history."
